title,body,labels,assignees,milestone,state,state_reason
[EPIC] Physics Stabilization PS2.x,"Epic: PS2.x physics stabilization, including distance engine, neighbor engine, spatial partitioning, torus fixes, and sphere constraint projection.","epic,PS,Engine,In Progress",,"PS2.x Physics Stabilization","open",""
[EPIC] Diagnostics & Test Infrastructure,"Epic: build diagnostics, metrics, and test suites ensuring physics, PSS, topology, and visualization changes remain robust.","epic,Diagnostics,Engine,E,Done",,"Diagnostics & Testing","closed","completed"

[Bootstrap] Set up Python environment and dependencies,"Created virtual environment and installed JAX, matplotlib, and required dependencies.","Bootstrap,Architecture,Done",,"Pre-PS1.1 Development","closed","completed"
[Bootstrap] Implement first simulation loop skeleton,"Added basic simulation loop with fixed timestep and minimal configuration in cosmosim.py.","Engine,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Bootstrap] Define minimal body and simulation state representation,"Implemented early position, velocity, and mass containers for a few bodies.","Architecture,Engine,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Engine] Add naive Euler integrator v0,"Implemented Euler-based update for positions and velocities, wired into the main loop.","Engine,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Engine] Implement first gravitational force calculation,"Added direct pairwise Newtonian gravity force computation using nested loops.","Engine,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Scenarios] Hard-code initial inline scenario,"Embedded early random or simple multi-body setup directly into cosmosim.py before scenario modularization.","Scenarios,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Bootstrap] Introduce CLI argument parsing (argparse),"Added --scenario, --steps, and output options enabling command-line simulation control.","Bootstrap,Architecture,Done",,"Pre-PS1.1 Development","closed","completed"
[Scenarios] Implement scenario registry and extraction,"Created standalone scenario builder functions and registered them under scenario names.","Architecture,Scenarios,Done",,"Pre-PS1.1 Development","closed","completed"
[Scenarios] Implement Random N-Body scenario v1,"Added random position/velocity initialization and parameterized cluster radius.","Scenarios,Engine,Done",,"Pre-PS1.1 Development","closed","completed"
[Scenarios] Implement Two-Body orbital scenario,"Created a scenario with a central mass and orbiting body with approximate circular velocity.","Scenarios,Engine,Done",,"Pre-PS1.1 Development","closed","completed"
[Scenarios] Implement Three-Body chaotic scenario,"Added scenario for chaotic gravitational dynamics to test integrator stability.","Scenarios,Engine,Done",,"Pre-PS1.1 Development","closed","completed"
[Viz] Implement first JSON exporter,"Added JSON export for positions/velocities enabling offline inspection.","Visualization,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Viz] Implement first PNG snapshot renderer (matplotlib),"Added 2D scatter plot renderer for saving PNG frames of simulation output.","Visualization,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Viz] Implement JSON multi-frame exporter (v0),"Extended exporter to write full frame sequences for replay or web viewer use.","Visualization,Architecture,Done",,"Pre-PS1.1 Development","closed","completed"
[Viz] Add trajectory plotting capability,"Added matplotlib trajectory plots to visualize body paths over time.","Visualization,Done",,"Pre-PS1.1 Development","closed","completed"
[Engine] Refactor stepping logic into kernel abstraction,"Extracted physics stepping into kernel_step() for cleaner architecture.","Engine,Architecture,Done",,"Engine Foundations","closed","completed"
[Engine] Move physics functions into engine module,"Separated force calculations, integrator, and energy functions into engine/.","Engine,Architecture,Done",,"Engine Foundations","closed","completed"
[Engine] Implement energy calculation helpers,"Added functions for kinetic and potential energy to track simulation drift.","Engine,Legacy,Done",,"Engine Foundations","closed","completed"
[Engine] Add stability checks using energy drift,"Introduced warnings for sudden divergence or excessive energy error.","Engine,Done",,"Engine Foundations","closed","completed"
[Architecture] Introduce base configuration object/dict,"Created a central configuration structure for dt, steps, N, radius, and topology.","Architecture,Done",,"Engine Foundations","closed","completed"
[PSS1.x] Implement CLI parameter override system,"Added custom parameter parsing (--params N=50,radius=10) and merging logic.","Architecture,PSS,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] Implement default + scenario parameter merging,"Scenario defaults now merge with global defaults then apply CLI overrides.","Architecture,PSS,Done",,"PSS1.x Parameter System","closed","completed"
[Engine] Convert state arrays to JAX arrays (experiment),"Migrated the state container to jax.numpy to test performance and consistency.","Engine,Legacy,Done",,"Engine Foundations","closed","completed"
[Engine] Implement JAX-based force computation experiment,"Rebuilt gravitational force calculation using jax.numpy and tested accuracy.","Engine,Legacy,Done",,"Engine Foundations","closed","completed"
[Topology] Implement flat topology displacement helper v0,"Created a simple displacement function for flat Euclidean space.","Architecture,Engine,Done",,"Topology System","closed","completed"
[Topology] Implement torus wrapping experiment v0,"Added periodic boundary wrapping as a precursor to full torus topology support.","Architecture,Engine,Done",,"Topology System","closed","completed"
[Topology] Prototype sphere displacement calculation,"Implemented an early approximation of sphere-surface displacement for experimentation.","Architecture,Engine,Done",,"Topology System","closed","completed"
[Viz] Create initial web viewer stub,"Added empty viewer module verifying JSON fields align with future needs.","Visualization,Architecture,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"

[Engine] Kernel step loop abstraction,"Create kernel.step() to unify integration and force computation for all scenarios.","Engine,Architecture,Done",,"Engine Foundations","closed","completed"
[Engine] Velocity Verlet integrator v1,"Introduce a Velocity Verlet integrator to improve long-term energy behavior over Euler.","Engine,Done",,"Engine Foundations","closed","completed"
[Engine] Refactor gravity force pipeline,"Separate pairwise gravity calculations into reusable functions to prepare for topology-aware logic.","Engine,Architecture,Done",,"Engine Foundations","closed","completed"
[Diagnostics] Kinetic and potential energy utilities,"Add helper functions for total KE and PE, enabling energy drift diagnostics across scenarios.","Engine,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"
[Diagnostics] Initial stability investigations,"Run orbits and random N-body tests to characterize energy drift and integrator behavior.","Engine,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"

[CLI] Cosmosim unified CLI entrypoint,"Consolidate multiple entrypoints into cosmosim.py with unified scenario selection, viewer modes, and export options.","Architecture,E,Done",,"Engine Foundations","closed","completed"
[CLI] Viewer routing via --view,"Implement auto, debug, web, and none view modes, routing to Python viewer, JSON export, or headless runs.","Architecture,E,Visualization,Done",,"Engine Foundations","closed","completed"
[CLI] Scenario listing via --list,"Add --list option to cosmosim.py to enumerate discovered scenarios and their descriptions.","Architecture,Scenarios,Done",,"Engine Foundations","closed","completed"
[CLI] Legacy script deprecation,"Mark run_sim.py and jit_run_sim.py as legacy while keeping them functional for backward compatibility.","Architecture,Legacy,Done",,"Engine Foundations","closed","completed"

[Viz] JSON frame exporter v1,"Export per-frame positions, velocities, masses, and actives in a structured JSON suitable for the web viewer.","E,Visualization,Done",,"Visualization System","closed","completed"
[Viz] Single-file JSON exporter,"Implement export_simulation_single that runs a simulation and writes config plus all frames into one JSON file.","E,Visualization,Done",,"Visualization System","closed","completed"
[Viz] Frame dict utilities,"Add helpers to convert JAX arrays to Python lists/dicts so JSON encoding succeeds cleanly.","E,Visualization,Done",,"Visualization System","closed","completed"

[PSS1.x] PSS0.x CLI param parsing,"Add parse_param_string helper to parse comma-separated key=value pairs from --params.","PSS,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] PSS1.0 schema format,"Define SCENARIO_PARAMS schema entries including type, default, bounds, and description.","PSS,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] PSS1.1 schema loading & merging,"Implement schema discovery, type conversion, and merging with CLI overrides and defaults.","PSS,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] PSS integration with cosmosim,"Wire merged_params into scenario builders and UniverseConfig creation in cosmosim.py.","PSS,Architecture,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] PSS validation layer,"Add validation warnings for invalid types, out-of-bounds values, and unknown parameters.","PSS,Diagnostics,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] PSS schema validation helpers,"Add utilities to validate SCENARIO_PARAMS definitions for consistency.","PSS,Diagnostics,Done",,"PSS1.x Parameter System","closed","completed"
[PSS1.x] PSS test suite expansion,"Create tests for parameter parsing, merging, validation, and integration with cosmosim.","PSS,Diagnostics,Done",,"PSS1.x Parameter System","closed","completed"

[E1.x] Interactive Python viewer implementation,"Implement Matplotlib-based interactive viewer with pause, step, reset, overlays, and color modes.","E,Visualization,Done",,"E1.x Interactive Viewer","closed","completed"
[E1.x] Viewer overlay system,"Add HUD, entity inspector, velocity vectors, and trajectory overlays toggleable via keyboard.","E,Visualization,Done",,"E1.x Interactive Viewer","closed","completed"
[E1.x] UniverseState entity_radius field,"Extend UniverseState with entity_radius so viewer can render scaled body sizes.","Engine,E,Done",,"E1.x Interactive Viewer","closed","completed"
[E1.x] Viewer interaction tests,"Add tests for pause/resume, step-forward, selection, and basic overlay toggles.","E,Diagnostics,Done",,"E1.x Interactive Viewer","closed","completed"

[E1.3] Diagnostics panel & metrics engine,"Implement diagnostics pane computing energy, momentum, COM, and velocity histograms in a non-blocking figure.","E,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"
[E1.3] Metrics throttling & history,"Add capped history buffers and throttled updates to keep diagnostics responsive without hurting frame rate.","E,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"
[E1.3] Metrics test suite,"Create tests for metric correctness, history pruning, and toggle behavior.","E,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"

[E1.4] Web scenario config panel,"Add a scenario configuration panel in the web viewer that produces cosmosim.py CLI commands from schema-based forms.","E,Visualization,Done",,"E2.x Web Viewer","closed","completed"
[E1.5] Parameter panel in Python viewer,"Implement a parameter panel that shows scenario name, topology, UniverseConfig, and merged PSS parameters in the viewer.","E,Visualization,Done",,"E1.x Interactive Viewer","closed","completed"
[E1.5] Parameter panel tests & throttling,"Add tests and throttled updates for the parameter panel to avoid interfering with frame rate.","E,Diagnostics,Done",,"E1.x Interactive Viewer","closed","completed"

[Overlay] Topology overlay base system,"Create topology_overlay package with base class, grid, bounds, and factory modules.","Visualization,E,Done",,"Overlay System","closed","completed"
[Overlay] Grid overlay implementation,"Implement GridOverlay for drawing grid lines scaled to simulation bounds.","Visualization,E,Done",,"Overlay System","closed","completed"
[Overlay] Bounds overlay implementation,"Implement BoundsOverlay to visualize domain boundaries in 2D/3D plots.","Visualization,E,Done",,"Overlay System","closed","completed"
[Overlay] Overlay integration hooks,"Wire topology overlays into JSON export so viewers can consume overlay definitions.","Visualization,E,Done",,"Overlay System","closed","completed"
[Overlay] Overlay tests,"Add tests verifying overlay structures, line counts, and JSON-serializable output.","Visualization,E,Diagnostics,Done",,"Overlay System","closed","completed"

[PS1.1] Softened gravity implementation,"Introduce softened gravity in physics_utils to avoid singular forces at small separations.","PS,Engine,Done",,"PS1.x Physics Stabilization","closed","completed"
[PS1.1] gravity_softening config option,"Add gravity_softening parameter to UniverseConfig to control softening radius.","PS,Engine,Done",,"PS1.x Physics Stabilization","closed","completed"
[PS1.1] Kernel refactor for gravity utils,"Refactor kernel and run paths to call compute_gravity_forces instead of inline gravity code.","PS,Engine,Done",,"PS1.x Physics Stabilization","closed","completed"
[PS1.1] Softened gravity test suite,"Add tests verifying softened forces, compatibility with legacy behavior, and symmetry properties.","PS,Diagnostics,Done",,"PS1.x Physics Stabilization","closed","completed"

[PS1.2] Integrator abstraction,"Add integrate_euler and integrate_leapfrog functions and route integration via config parameter.","PS,Engine,Done",,"PS1.x Physics Stabilization","closed","completed"
[PS1.2] Integrator tests,"Add tests confirming default integrator selection and stable behavior of both Euler and Leapfrog.","PS,Diagnostics,Done",,"PS1.x Physics Stabilization","closed","completed"

[PS1.5] Auto-camera system,"Implement auto-camera module for web viewer that frames all bodies via a smooth bounding sphere.","PS,E,Done",,"PS1.x Physics Stabilization","closed","completed"
[PS1.5] Auto-camera integration & tests,"Wire auto-camera into Three.js loop and add tests/manual checks for edge cases like empty or extreme simulations.","PS,E,Diagnostics,Done",,"PS1.x Physics Stabilization","closed","completed"

[PS2.1] Distance engine implementation,"Create distance_utils with compute_offset and compute_distance supporting FLAT, TORUS, SPHERE, and BUBBLE topologies.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.1] Topology config fields,"Extend UniverseConfig with torus_size and bubble_curvature fields.","PS,Engine,Done",,"Topology System","closed","completed"
[PS2.1] Hybrid flat vs topology gravity path,"Use fast Euclidean path for FLAT and topology-aware path for non-flat topologies in gravity computation.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.1] Distance engine tests,"Add tests for displacement and distances across all supported topologies, including sphere antipodal cases.","PS,Diagnostics,Done",,"PS2.x Physics Stabilization","closed","completed"

[PS2.2] Topology neighbor engine,"Implement topology_neighbors with compute_topology_offset and neighbor pair generation functions.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.2] Neighbor engine config flag,"Add enable_neighbor_engine flag to UniverseConfig to gate use of the neighbor engine.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.2] Neighbor engine tests,"Add tests verifying neighbor pairs and offsets across all topologies.","PS,Diagnostics,Done",,"PS2.x Physics Stabilization","closed","completed"

[PS2.3] Spatial partition engine,"Implement spatial partitioning (hash grid) to accelerate neighbor searches.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.3] Partition-based neighbor iterator,"Add partitioned neighbor pair generation using neighbor cells from the grid.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.3] Spatial partition flags,"Add enable_spatial_partition and spatial_cell_size parameters to UniverseConfig.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.3] Spatial partition tests,"Add tests validating equivalence with naive neighbor enumeration and determinism under JAX.","PS,Diagnostics,Done",,"PS2.x Physics Stabilization","closed","completed"

[PS2.4] Torus NaN bug fix,"Fix NaN behavior in torus wrapping by enforcing consistent bounds and validating configuration.","PS,Diagnostics,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.4] Sphere constraint projection,"Add sphere constraint projection to keep positions on a fixed radius and velocities tangent.","PS,Engine,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.4] Sphere constraint tests,"Add validation_sphere_geodesic tests to confirm stable constrained motion.","PS,Diagnostics,Done",,"PS2.x Physics Stabilization","closed","completed"
[PS2.4] Topology parameter merging fix,"Ensure topology_type from scenarios survives PSS merging and is used in config creation.","PSS,PS,Done",,"PSS2.x Enhancements","closed","completed"
[PS2.4] Topology constants alignment,"Define explicit topology constants and align them across distance and constraint handlers.","PS,Engine,Done",,"Topology System","closed","completed"
[PS2.4] export_simulation_single test compatibility,"Update tests to mock kernel and I/O in export_simulation_single without JAX tracing errors.","PS,E,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"
[PS2.4] MagicMock type coercion fix,"Coerce topology_type to int safely to avoid recursion and tracing issues in tests.","PS,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"
[PS2.4] Cross-topology validation suite,"Run validation scenarios for torus, sphere, and flat topologies to confirm stability after PS2.4 changes.","PS,Diagnostics,Done",,"PS2.x Physics Stabilization","closed","completed"

[Diagnostics] JAX mocking fixes,"Patch step_simulation in module namespaces in tests to avoid JAX string tracing errors.","Diagnostics,Engine,Done",,"Diagnostics & Testing","closed","completed"
[Diagnostics] CLI test suite updates,"Refactor tests to focus on cosmosim.py CLI behavior and legacy script compatibility.","E,Diagnostics,Done",,"Diagnostics & Testing","closed","completed"

[Docs] README refinement,"Update README to document PS phases, topology overlays, and interface enhancements.","Bootstrap,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
[Docs] Walkthrough index creation,"Create an index of major walkthrough docs for CosmoFrame (CosmoSim) project history and onboarding.","Bootstrap,Legacy,Done",,"Pre-PS1.1 Development","closed","completed"
