title,body,labels,assignees,milestone,state,state_reason
[Engine3.x] Octree neighbor engine,"Introduce octree-based neighbor partitioning for 3D physics acceleration.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""
[Engine3.x] Unified neighbor engine abstraction,"Create a single interface for hash-grid, KD-tree, octree, and BH modules.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""
[Engine3.x] Integrator plugin system,"Support dynamic integrator selection and runtime loading.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""
[Engine3.x] Multistep integrator family,"Add Gear predictor–corrector and Adams–Bashforth integrators.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""

[Topology3.x] Higher-genus surface topology,"Add genus ≥2 surfaces with correct displacement paths and boundary rules.","Topology3.x,Topology,Backlog,milestone:Topology3.x",,"","open",""
[Topology3.x] Projective plane topology,"Implement non-orientable projective plane topology and coordinate transformations.","Topology3.x,Topology,Backlog,milestone:Topology3.x",,"","open",""
[Topology3.x] Time-varying topology transitions,"Allow topology to morph during simulation with smooth invariants.","Topology3.x,Topology,Backlog,milestone:Topology3.x",,"","open",""
[Topology3.x] General geodesic solver,"Add numerical geodesic solver for arbitrary input surfaces.","Topology3.x,Topology,Backlog,milestone:Topology3.x",,"","open",""
[Topology3.x] Topology-aware rendering pipeline,"Add rendering modes representing topology curvature and embedding in viewers.","Topology3.x,Topology,Backlog,milestone:Topology3.x",,"","open",""

[Diagnostics2.x] Stability classification engine,"Classify simulation stability by analyzing drift, jitter, divergences, and periodicity.","Diagnostics2.x,Diagnostics,Backlog,milestone:Diagnostics2.x",,"","open",""
[Diagnostics2.x] Drift heatmap visualization,"Visualize spatial distributions of stability drift.","Diagnostics2.x,Diagnostics,Backlog,milestone:Diagnostics2.x",,"","open",""
[Diagnostics2.x] Real-time anomaly flagging,"Flag anomalies such as unbounded acceleration or sudden reversals.","Diagnostics2.x,Diagnostics,Backlog,milestone:Diagnostics2.x",,"","open",""

[Diagnostics3.x] AI-assisted anomaly detection,"Integrate LLM reasoning to detect unphysical patterns and emergent anomalies.","Diagnostics3.x,Diagnostics,Backlog,milestone:Diagnostics3.x",,"","open",""
[Diagnostics3.x] Simulation QA scoring system,"Score runs for physical correctness and numerical stability.","Diagnostics3.x,Diagnostics,Backlog,milestone:Diagnostics3.x",,"","open",""
[Diagnostics3.x] Multi-run regression harness,"Automate comparisons across simulation versions for reproducibility.","Diagnostics3.x,Diagnostics,Backlog,milestone:Diagnostics3.x",,"","open",""

[PSS3.x] Scenario template system,"Create reusable YAML-based scenario templates for consistent configuration.","PSS3.x,PSS,Backlog,milestone:PSS3.x",,"","open",""
[PSS3.x] Parameter dependency graph solver,"Compute dependency constraints among parameters before simulation.","PSS3.x,PSS,Backlog,milestone:PSS3.x",,"","open",""
[PSS3.x] Pre-run configuration constraint solver,"Detect invalid configurations before runtime based on dependencies.","PSS3.x,PSS,Backlog,milestone:PSS3.x",,"","open",""
[PSS3.x] PSS plugin system,"Enable scenario modules to plug custom parameters and validation rules.","PSS3.x,PSS,Backlog,milestone:PSS3.x",,"","open",""

[Viz3.x] Shader-based particle rendering,"Use WebGL shaders for high-performance point rendering and lighting.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.x] 4D projection renderer,"Render 3D motion using time as a visualization dimension.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.x] Multi-pane comparison dashboard,"Display synchronized views for topology, integrator, or parameter comparison.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.x] Real-time raymarcher for topology rendering,"Use raymarching to visualize curved manifolds interactively.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""

[Edu2.x] Advanced topology curriculum,"Educational content demonstrating advanced topologies and transitions.","Edu2.x,Education,Backlog,milestone:Edu2.x",,"","open",""
[Edu2.x] Chaos demonstration portal,"Interactive modules showing chaos, bifurcations, and sensitivity to initial conditions.","Edu2.x,Education,Backlog,milestone:Edu2.x",,"","open",""
[Edu2.x] Physics stabilization teaching suite,"Educational walkthrough showing PS1.x → PS3.x improvements.","Edu2.x,Education,Backlog,milestone:Edu2.x",,"","open",""
[Edu2.x] Intro to substrate physics module,"Teach scalar-field and fluid-substrate dynamics in an interactive way.","Edu2.x,Education,Backlog,milestone:Edu2.x",,"","open",""
