title,body,labels,assignees,milestone,state,state_reason
[SS1.4] Add substrate evolution integrator,"Implement explicit and semi-implicit integrators for substrate updates.","SS1.x,Substrate,Physics,Backlog,milestone:SS1.x",,"","open",""
[SS1.5] Substrate field visualization overlay,"Add heatmap rendering layer for substrate fields in Python viewer.","SS1.x,Substrate,Visualization,Backlog,milestone:SS1.x",,"","open",""
[SS1.6] Substrate JSON exporter,"Export substrate fields to single-file JSON and multi-frame exports.","SS1.x,Substrate,Visualization,Backlog,milestone:SS1.x",,"","open",""
[SS1.7] Web Viewer substrate loader,"Enable substrate importing and rendering in the Three.js viewer.","SS1.x,Substrate,Visualization,Backlog,milestone:SS1.x",,"","open",""
[SS1.8] Field compression / downsampling pipeline,"Implement lossy/lossless compression for substrate fields during export.","SS1.x,Substrate,Engine,Backlog,milestone:SS1.x",,"","open",""

[SS2.1] Particle→Field deposit model,"Implement rules for particles influencing substrate fields (density, impulses).","SS2.x,Substrate,Physics,Backlog,milestone:SS2.x",,"","open",""
[SS2.2] Field→Particle force model,"Allow substrate gradients to apply forces on particles.","SS2.x,Substrate,Physics,Backlog,milestone:SS2.x",,"","open",""
[SS2.3] Substrate advection model,"Add ability for fields to be advected by dynamic flows.","SS2.x,Substrate,Physics,Backlog,milestone:SS2.x",,"","open",""
[SS2.4] Substrate-curvature mapping,"Use substrate density or gradients to inform topology curvature effects.","SS2.x,Substrate,Topology,Backlog,milestone:SS2.x",,"","open",""
[SS2.5] Substrate diagnostics layer,"Add field stability metrics, spectral analysis, and diffusion rates.","SS2.x,Substrate,Diagnostics,Backlog,milestone:SS2.x",,"","open",""
[SS2.6] Substrate–particle interaction overlays,"Viewer overlays showing where substrate forces affect particle motion.","SS2.x,Substrate,Visualization,Backlog,milestone:SS2.x",,"","open",""
[SS2.R] Substrate-driven curvature visualizer,"Visualize topology deformation implied by substrate density.","SS2.x,Substrate,Visualization,Ready,milestone:SS2.x",,"","open",""

[SS3.1] GPU substrate solver,"Accelerate substrate grid updates using CUDA/XLA.","SS3.x,Substrate,Engine,Backlog,milestone:SS3.x",,"","open",""
[SS3.2] Multi-GPU substrate tiling,"Partition substrate grid across multiple GPUs.","SS3.x,Substrate,Engine,Backlog,milestone:SS3.x",,"","open",""
[SS3.3] Adaptive-resolution substrate grids,"Support multi-resolution grids for efficiency and zooming.","SS3.x,Substrate,Engine,Backlog,milestone:SS3.x",,"","open",""
[SS3.4] Shader-based field visualization,"Render substrate fields with GPU shaders in the web viewer.","SS3.x,Substrate,Visualization,Backlog,milestone:SS3.x",,"","open",""
[SS3.5] XLA-optimized field operators,"Optimize Laplacian and advection operators using XLA fusion.","SS3.x,Substrate,Physics,Backlog,milestone:SS3.x",,"","open",""
[SS3.R] Prototype GPU fluid solver,"Implement early GPU-accelerated Navier–Stokes solver.","SS3.x,Substrate,Physics,Ready,milestone:SS3.x",,"","open",""

[Viz3.1] Add vector-field visualization,"Render vector fields representing substrate gradients or flow.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.2] Add manifold curvature renderer,"Render curvature maps for topologies or substrate-driven curvature.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.3] Add multi-pane comparison viewer,"Allow simultaneous comparisons of physics, substrate, and topology behavior.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.4] Add 4D projection viewer,"Render trajectories using time as a projection dimension.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.5] Add raymarching topology renderer,"Use raymarching to visualize curved manifolds and fields.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.6] Add dynamic warped-grid visualization,"Render warped grids that respond to substrate gradient fields.","Viz3.x,Visualization,Backlog,milestone:Viz3.x",,"","open",""
[Viz3.R] Add unified overlay selector UI,"Provide UI for toggling particle, field, topology, and emergence overlays.","Viz3.x,Visualization,Ready,milestone:Viz3.x",,"","open",""
